date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:59	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c8380-24a3%22	http://www.varunbajaj.me/robots.txt		(from )
12:33:59	47464/47464	---M-Z	200	added ('OK')	text/html	etag:W/%2264757356-b968%22	http://www.varunbajaj.me/	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/index.html	(from )
12:33:59	154427/154427	---M-Z	200	added ('OK')	text/css	etag:W/%2264757355-25b3b%22	http://www.varunbajaj.me/css/materialize.css	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/css/materialize.css	(from http://www.varunbajaj.me/)
12:33:59	1658/1658	---M-Z	200	added ('OK')	text/css	etag:W/%2264757355-67a%22	http://www.varunbajaj.me/css/style.css	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/css/style.css	(from http://www.varunbajaj.me/)
12:34:00	2167/2167	---M--	200	added ('OK')	image/png	etag:%2264757355-877%22	http://www.varunbajaj.me/icon/apple-icon-57x57.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-57x57.png	(from http://www.varunbajaj.me/)
12:34:00	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	D:/Study/kishan/PF/Kishan/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://www.varunbajaj.me/)
12:34:00	2256/2256	---M--	200	added ('OK')	image/png	etag:%2264757355-8d0%22	http://www.varunbajaj.me/icon/apple-icon-60x60.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-60x60.png	(from http://www.varunbajaj.me/)
12:34:00	2633/2633	---M--	200	added ('OK')	image/png	etag:%2264757355-a49%22	http://www.varunbajaj.me/icon/apple-icon-72x72.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-72x72.png	(from http://www.varunbajaj.me/)
12:34:00	2738/2738	---M--	200	added ('OK')	image/png	etag:%2264757355-ab2%22	http://www.varunbajaj.me/icon/apple-icon-76x76.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-76x76.png	(from http://www.varunbajaj.me/)
12:34:01	4015/4015	---M--	200	added ('OK')	image/png	etag:%2264757355-faf%22	http://www.varunbajaj.me/icon/apple-icon-114x114.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-114x114.png	(from http://www.varunbajaj.me/)
12:34:01	4207/4207	---M--	200	added ('OK')	image/png	etag:%2264757355-106f%22	http://www.varunbajaj.me/icon/apple-icon-120x120.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-120x120.png	(from http://www.varunbajaj.me/)
12:34:01	5461/5461	---M--	200	added ('OK')	image/png	etag:%2264757355-1555%22	http://www.varunbajaj.me/icon/apple-icon-144x144.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-144x144.png	(from http://www.varunbajaj.me/)
12:34:01	5756/5756	---M--	200	added ('OK')	image/png	etag:%2264757355-167c%22	http://www.varunbajaj.me/icon/apple-icon-152x152.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-152x152.png	(from http://www.varunbajaj.me/)
12:34:02	7401/7401	---M--	200	added ('OK')	image/png	etag:%2264757355-1ce9%22	http://www.varunbajaj.me/icon/apple-icon-180x180.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/apple-icon-180x180.png	(from http://www.varunbajaj.me/)
12:34:02	6909/6909	---M--	200	added ('OK')	image/png	etag:%2264757355-1afd%22	http://www.varunbajaj.me/icon/android-icon-192x192.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/android-icon-192x192.png	(from http://www.varunbajaj.me/)
12:34:02	1469/1469	---M--	200	added ('OK')	image/png	etag:%2264757355-5bd%22	http://www.varunbajaj.me/icon/favicon-32x32.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/favicon-32x32.png	(from http://www.varunbajaj.me/)
12:34:02	3382/3382	---M--	200	added ('OK')	image/png	etag:%2264757355-d36%22	http://www.varunbajaj.me/icon/favicon-96x96.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/favicon-96x96.png	(from http://www.varunbajaj.me/)
12:34:02	987/987	---M--	200	added ('OK')	image/png	etag:%2264757355-3db%22	http://www.varunbajaj.me/icon/favicon-16x16.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/favicon-16x16.png	(from http://www.varunbajaj.me/)
12:34:03	720/720	---M-Z	200	added ('OK')	application/json	etag:W/%2264757355-2d0%22	http://www.varunbajaj.me/icon/manifest.json	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/manifest.json	(from http://www.varunbajaj.me/)
12:34:03	5461/5461	---M--	200	added ('OK')	image/png	etag:%2264757355-1555%22	http://www.varunbajaj.me/icon/ms-icon-144x144.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/icon/ms-icon-144x144.png	(from http://www.varunbajaj.me/)
12:34:03	47464/47464	---M-Z	200	added ('OK')	text/html	etag:W/%2264757356-b968%22	http://www.varunbajaj.me/index.html	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/index-2.html	(from http://www.varunbajaj.me/)
12:34:03	11698/11698	---M-Z	200	added ('OK')	text/html	etag:W/%2264757355-2db2%22	http://www.varunbajaj.me/gamedesign.html	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/gamedesign.html	(from http://www.varunbajaj.me/)
12:34:03	11486/11486	---M-Z	200	added ('OK')	text/html	etag:W/%2264757355-2cde%22	http://www.varunbajaj.me/gamedev.html	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/gamedev.html	(from http://www.varunbajaj.me/)
12:34:04	28463/28463	---M-Z	200	added ('OK')	text/html	etag:W/%2264757355-6f2f%22	http://www.varunbajaj.me/gameplay_prototyping.html	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/gameplay_prototyping.html	(from http://www.varunbajaj.me/)
12:34:04	11788/11788	---M-Z	200	added ('OK')	text/html	etag:W/%2264757356-2e0c%22	http://www.varunbajaj.me/maya.html	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/maya.html	(from http://www.varunbajaj.me/)
12:34:04	10086/10086	---M-Z	200	added ('OK')	text/html	etag:W/%2264757356-2766%22	http://www.varunbajaj.me/vr_game_dev.html	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/vr_game_dev.html	(from http://www.varunbajaj.me/)
12:34:10	50007/50007	---M--	200	added ('OK')	application/pdf	etag:%2264757355-c357%22	http://www.varunbajaj.me/Varun_Bajaj_Resume.pdf	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/Varun_Bajaj_Resume.pdf	(from http://www.varunbajaj.me/)
12:34:32	135970/135970	---M--	200	added ('OK')	image/png	etag:%2264757356-21322%22	http://www.varunbajaj.me/images/home/lightless_banner.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/lightless_banner.png	(from http://www.varunbajaj.me/)
12:37:24	1236826/1236826	---M--	200	added ('OK')	image/png	etag:%2264757356-12df5a%22	http://www.varunbajaj.me/images/home/featuredgames.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/featuredgames.png	(from http://www.varunbajaj.me/)
12:40:24	1105693/1105693	---M--	200	added ('OK')	image/png	etag:%2264757356-10df1d%22	http://www.varunbajaj.me/images/home/volume_banner.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/volume_banner.png	(from http://www.varunbajaj.me/)
12:42:57	3116191/3116191	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-2f8c9f%22	http://www.varunbajaj.me/images/home/lostandfound_banner.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/lostandfound_banner.jpg	(from http://www.varunbajaj.me/)
12:43:35	3526190/3526190	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-35ce2e%22	http://www.varunbajaj.me/images/home/ac_vr.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/ac_vr.jpg	(from http://www.varunbajaj.me/)
12:45:34	967988/967988	---M--	200	added ('OK')	image/png	etag:%2264757356-ec534%22	http://www.varunbajaj.me/images/leveldesign/Portal-Pic.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/leveldesign/Portal-Pic.png	(from http://www.varunbajaj.me/)
12:47:47	826149/826149	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-c9b25%22	http://www.varunbajaj.me/images/leveldesign/golfbanner.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/leveldesign/golfbanner.jpg	(from http://www.varunbajaj.me/)
